Round,Player,Position,Team,Drafted_by_Round_%,Times_Drafted,First_Round,Last_Round,Variance
14,Ashton Jeanty,RB,LV,100.0,8,1,2,1
14,A.J. Brown,WR,NE,100.0,8,1,2,1
14,Drake London,WR,ATL,100.0,8,1,2,1
14,Derrick Henry,RB,BAL,100.0,8,1,3,2
14,Chase Brown,RB,CIN,100.0,8,1,3,2
14,Nico Collins,WR,HOU,100.0,8,2,3,1
14,Rashee Rice,WR,KC,100.0,8,2,3,1
14,Chris Olave,WR,NO,100.0,8,2,3,1
15,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
15,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
15,Bijan Robinson,RB,ATL,100.0,8,1,1,0
15,Puka Nacua,WR,LAR,100.0,8,1,1,0
15,Christian McCaffrey,RB,SF,100.0,8,1,1,0
15,Jonathan Taylor,RB,IND,100.0,8,1,1,0
15,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
15,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
15,James Cook III,RB,BUF,100.0,8,1,2,1
15,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
15,De'Von Achane,RB,MIA,100.0,8,1,2,1
15,Justin Jefferson,WR,MIN,100.0,8,1,2,1
15,Ashton Jeanty,RB,LV,100.0,8,1,2,1
15,A.J. Brown,WR,NE,100.0,8,1,2,1
15,Drake London,WR,ATL,100.0,8,1,2,1
15,Derrick Henry,RB,BAL,100.0,8,1,3,2
15,Chase Brown,RB,CIN,100.0,8,1,3,2
15,Nico Collins,WR,HOU,100.0,8,2,3,1
15,Rashee Rice,WR,KC,100.0,8,2,3,1
15,Chris Olave,WR,NO,100.0,8,2,3,1
16,Jahmyr Gibbs,RB,DET,100.0,8,1,1,0
16,Ja'Marr Chase,WR,CIN,100.0,8,1,1,0
16,Bijan Robinson,RB,ATL,100.0,8,1,1,0
16,Puka Nacua,WR,LAR,100.0,8,1,1,0
16,Christian McCaffrey,RB,SF,100.0,8,1,1,0
16,Jonathan Taylor,RB,IND,100.0,8,1,1,0
16,Amon-Ra St. Brown,WR,DET,100.0,8,1,1,0
16,Jaxon Smith-Njigba,WR,SEA,100.0,8,1,1,0
16,James Cook III,RB,BUF,100.0,8,1,2,1
16,CeeDee Lamb,WR,DAL,100.0,8,1,2,1
16,De'Von Achane,RB,MIA,100.0,8,1,2,1
16,Justin Jefferson,WR,MIN,100.0,8,1,2,1
16,Ashton Jeanty,RB,LV,100.0,8,1,2,1
16,A.J. Brown,WR,NE,100.0,8,1,2,1
16,Drake London,WR,ATL,100.0,8,1,2,1
16,Derrick Henry,RB,BAL,100.0,8,1,3,2
16,Chase Brown,RB,CIN,100.0,8,1,3,2
16,Nico Collins,WR,HOU,100.0,8,2,3,1
16,Rashee Rice,WR,KC,100.0,8,2,3,1
16,Chris Olave,WR,NO,100.0,8,2,3,1
